Name,RAJ2000,DEJ2000,memclass,Kmag,e_Kmag,r_K,Gmag,e_Gmag,BP-RP,bin,RUWE,D,e_D,mass,e_mass,Lbol,e_Lbol,tau,Prot,EW,e_EW,chi,e_chi,NSPTP
Gaia DR3 1429676179116406144,244.3889544,56.08573425,ms,11.17,0.022,2M,14.353831,0.00288,2.104147,0,1.024,136.561508,0.303322,0.520945363,0.003215735,180.9753677,4.065080557,42.92507055,11.92462021,-1.05450353,0.057269995,5.918248994,0.029670466,41
Gaia DR3 1430035581979997824,249.0275558,55.25738719,ms,12.824,0.03,2M,16.648685,0.003249,2.865248,0,0.933,118.828392,0.536945,0.222787723,0.002548098,25.35235674,0.854843611,102.6136343,1.4,-6.60967639,0.29833535,3.292797778,0.032314232,43.5
Gaia DR3 1430109073164197760,248.7920945,55.66351585,ms,14.278,0.071,2M,18.7469,0.00348,3.595154,0,0.98,102.23912,1.6292915,0.101681921,0.002535148,3.986046159,0.322634438,151.5940915,nan,nan,nan,1.285684927,0.079878298,45
Gaia DR3 1430943709864652416,253.1096875,58.4025606,ms,8.886,0.018,2M,10.311491,0.002834,0.822888,0,1.387,133.391129,0.250702,0.994699209,0.004011633,3838.679007,71.57584867,13.95318673,nan,2.73,0.067,9.598639034,0.03078184,23
Gaia DR3 1431067198764168960,247.6070904,56.56726487,ms,12.679,0.027,2M,16.295229,0.002842,2.626911,0,1.001,121.803314,0.4907265,0.246805606,0.004365026,30.97410716,0.868060075,95.2082588,nan,0.151131585,0.157855681,3.533681193,0.036458439,43
Gaia DR3 1431130626841306368,247.0706707,56.88707848,ms,11.996,0.018,2M,15.606875,0.00288,2.630537,0,1.021,126.690834,0.3682895,0.375490136,0.001547144,66.41008871,1.193504656,64.63571789,1.195852951,-7.029883988,0.077507566,4.679419679,0.010555057,43
Gaia DR3 1431152995030908800,247.449187,57.14023473,ms,13.229,0.032,2M,17.168587,0.002924,3.009753,0,1.039,122.800644,0.9261475,0.195862499,0.002901237,17.85797809,0.687181737,111.7116608,nan,-6.14801078,0.44963737,2.933421889,0.034468514,44
Gaia DR3 1431262392142769152,248.0087841,57.61108504,ms,14.032,0.052,2M,18.54041,0.003561,3.350191,0,1.155,113.302727,2.065979,0.125544721,0.004237313,6.49233134,0.453686941,140.1422148,nan,nan,nan,1.886316633,0.054011555,45
Gaia DR3 1431445774362178688,247.446244,57.55021823,ms,12.426,0.024,2M,16.125809,0.00286,2.760828,0,1.039,117.24646,0.5157125,0.273557138,0.004700396,36.58647001,0.962796689,87.6723567,nan,-4.27541277,0.22563346,3.770561635,0.040853092,43
Gaia DR3 1433366616880127744,254.2429529,56.74544199,ms,13.81,0.057,2M,17.987001,0.003306,3.550365,0,0.915,111.913521,1.0214615,0.138232391,0.003920085,7.947643798,0.512494126,134.4543797,nan,nan,nan,2.089062434,0.059204974,44.5
Gaia DR3 1433368476601831680,254.5072836,56.70557598,ms,14.369,0.077,2M,18.970787,0.003854,3.673093,0,1.029,126.642212,3.514908,0.120192725,0.004861421,5.880093453,0.626722301,142.6228997,nan,nan,nan,1.768750554,0.10546635,45.5
Gaia DR3 1433613732118335488,255.1964299,57.43674559,ms,13.34,0.034,2M,17.299473,0.002998,3.068115,0,0.961,114.141792,0.825924,0.173993206,0.003052607,13.49586931,0.527470156,119.7829539,nan,-5.61710307,0.37473245,2.64584322,0.03352567,44
Gaia DR3 1437833662041390848,253.8487195,59.71658956,ms,10.278,0.018,2M,13.401772,0.002769,1.99843,0,1.105,111.662262,0.163624,0.585926874,0.002609511,296.8684198,5.399832074,36.10238411,nan,0.389843425,0.023259987,6.563960044,0.031109498,40.5
